	iTRAQ8.113	iTRAQ8.114	iTRAQ8.115	iTRAQ8.116	iTRAQ8.117	iTRAQ8.118	iTRAQ8.119	iTRAQ8.121
P68363, P68366, Q71U36, Q9BQE3	-3.57176306606107	-2.90640036269484	-2.39747739617059	-4.06226823801311	-3.20957645576825	-3.14246382657979	-3.09237561706442	-2.36383680172443
P78527	-4.42742762702348	-2.7356047647854	-2.46792636564829	-3.81334281351592	-3.0646038740144	-3.92847352600377	-2.64907274559953	-2.27316479118492
P85037	-4.16172136155047	-2.61217001660721	-2.7811668573345	-3.65031543271465	-2.7973742991171	-3.51194044473706	-2.84552215518861	-2.43579146238146
P98160	-3.49455520818505	-2.12742629227218	-2.51967665061469	-3.35714546795472	-3.33947335809364	-3.78589986249782	-2.4489356582158	-4.15829055255306
P99999	-3.94545945795716	-3.16541933724952	-3.11325939551573	-3.56164351398554	-2.98032763552453	-3.04393654442263	-3.00456534391404	-1.99534382319318
Q00765	-3.78528677253499	-3.62333873100164	-2.7212844656622	-3.83500502764411	-2.08388769937341	-3.10514901461674	-3.28820804755401	-2.55506772437742
Q01082	-3.07984377710741	-3.51778955503943	-2.22939095775679	-3.50927336725776	-3.14943146916433	-3.54853284644613	-2.5530162348081	-3.0024189943618
Q01813	-2.84694873476852	-3.31114783575324	-1.77557447831457	-3.18757691673065	-2.90444797261821	-3.60985999356857	-3.71739680513419	-3.90117723309941
Q02543	-4.15139952892137	-3.46602321168757	-2.38970067914799	-4.41007852721605	-3.49444653379314	-2.78922639122195	-2.9472567302617	-1.9866383109712
Q04671	-4.35068269631536	-4.84223495914927	-4.98673527919645	-3.61708659374738	-2.76456740004039	-2.10649062716776	-4.05387583469648	-1.45992950653884
Q12846	-2.93971960245429	-2.88112191851167	-2.7938108055687	-3.22220932488438	-2.9917244322827	-3.45879781287274	-3.03802252488655	-2.79433354010941
Q12996	-4.14352918284825	-3.15314425401959	-2.65317082555867	-4.1779861517424	-3.29900465872062	-2.28198756966683	-2.98826421427297	-2.44572042292337
Q13418	-3.88564515743878	-2.36311827447659	-3.1156084044282	-4.54400199838797	-3.82266085375207	-2.64094078017432	-1.93386103839053	-3.52272786028811
Q13423	-3.8982975587306	-2.84637980621762	-2.15420198158661	-2.83926416990865	-3.06497104084976	-3.10190212307269	-3.31461060976545	-3.42629315858467
Q13610	-3.80958743344417	-3.40053111046429	-2.47157234607275	-4.97267475614698	-3.23436511038615	-3.69930154275931	-2.73418872650523	-1.79429607347996
Q13618	-3.41485564474923	-3.55159036729271	-2.40880441378234	-3.87284388403973	-3.21855382708082	-3.38185102327353	-3.01648248347542	-2.07433868878697
Q13813	-1.69241626103687	-3.83814495819332	-2.39342089691397	-4.84937698230222	-3.40862154246559	-4.57560200275041	-3.12492508135259	-2.78672472400061
Q13938	-1.5264966437086	-3.92765274414884	-3.32392728369233	-1.80523482300764	-2.83907338385582	-4.80189932061909	-6.18542122273241	-6.40141831009381
Q14166	-4.5715584974302	-2.38357305225693	-2.51848051139826	-3.68802295680134	-3.57381140191079	-4.17787051435555	-2.88210831575725	-2.06297694988923
Q14204	-4.19346412763167	-3.16237439891769	-2.37636885192512	-3.47240051263432	-3.1430742554558	-3.02335190019267	-2.95713281400594	-2.42663319992614
Q14451	-3.88604485266323	-2.91774967045201	-3.17954485787746	-3.24145184658863	-3.47437564647845	-3.36683506186085	-2.11642672991912	-2.58731383342678
